"ID","Threat Name","IP Address Exemptions","Rule","CVE","Host","Category","Severity","Action","Packet Capture"
"6801001","macOS-KeyChain","","Alert-All","","client","","high","default (drop)","disable"
"547000","Test App-ID change signature","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547027","New From openai-base To openai-agentbuilder","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547047","New From openai-chatgpt To openai-codex-create","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547051","New From openai-api To openai-agentbuilder-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547052","New From openai-api To openai-agentbuilder-edit","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547054","New From openai-base To openai-agentbuilder","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547056","New From openai-api To openai-agentbuilder-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547057","New From openai-api To openai-agentbuilder-edit","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547060","Modified From web-browsing To bing-ai-base","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547061","New From bing-ai-base To bing-ai-uploading","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547062","New From bing-ai-base To bing-ai-uploading","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547068","New From openai-chatgpt To openai-codex-create","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547072","Modified From amazon-polly-base To amazon-polly-upload","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547073","Modified From amazon-polly-base To amazon-polly-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547079","Modified From openai-base openai-chatgpt To openai-sora","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547080","Modified From openai-chatgpt To openai-sora","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547081","Modified From openai-chatgpt To openai-sora-upload","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547082","Modified From openai-chatgpt To openai-sora-upload","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547083","Modified From openai-chatgpt To openai-sora-post","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547084","Modified From openai-chatgpt To openai-sora-post","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547085","Modified From openai-base To openai-sora-download","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547086","Modified From openai-base To openai-sora-download","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547087","Modified From unknown-udp To mobility-xe","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547091","Modified From net.tcp To veeam","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547123","New From openai-base openai-chatgpt To openai-chatgpt-atlas","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547124","New From openai-base openai-chatgpt To openai-chatgpt-atlas","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547125","New From web-browsing openai-base openai-chatgpt To openai-chatgpt-atlas","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547134","Modified From web-browsing To tencent-meeting","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547135","Modified From web-browsing To tencent-meeting","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547136","New From ssl web-browsing To dlptoolbox","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547137","New From web-browsing To dlptoolbox","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547144","Modified From bittorrent To unknown-tcp","","Alert-All","","client","app-id-change","informational","default (allow)","disable"
"547150","Modified From unknown-udp To tencent-meeting","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547151","Modified From unknown-udp To tencent-meeting","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547152","Modified From unknown-udp To tencent-meeting","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547153","New From ssl web-browsing websocket To scitara","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547154","New From web-browsing To scitara","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547158","Modified From web-browsing To icloud-uploading","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547159","Modified From web-browsing To icloud-uploading","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547160","Modified From web-browsing To dialpad","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547161","Modified From web-browsing To dialpad","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547162","Modified From web-browsing To globalmeet","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547163","Modified From web-browsing To lifesize","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547164","Modified From web-browsing To lifesize","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547165","Modified From unknown-udp To wireguard","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547166","Modified From google-gemini To google-gemini-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547167","Modified From google-gemini To google-gemini-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547168","Modified From ssl web-browsing To lifesize","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547169","Modified From web-browsing To lifesize","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547172","Modified From ssl web-browsing To cakehr","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547173","Modified From web-browsing To cakehr","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547174","Modified From unknown-tcp To ssh","","Alert-All","","client","app-id-change","informational","default (allow)","disable"
"547175","Modified From ssl web-browsing To discord","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547176","Modified From web-browsing To discord","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547177","Modified From ssl web-browsing To successfactors","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547179","Modified From web-browsing To successfactors","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547184","New From telnet To moxa-router-telnet","","Alert-All","","client","app-id-change","informational","default (allow)","disable"
"547185","New From telnet To cisco-telnet","","Alert-All","","client","app-id-change","informational","default (allow)","disable"
"547186","New From web-browsing To factorytalk-optix-webserver","","Alert-All","","client","app-id-change","informational","default (allow)","disable"
"547187","New From web-browsing To factorytalk-optix-webserver","","Alert-All","","client","app-id-change","informational","default (allow)","disable"
"547188","Modified From web-browsing To dynatrace-app-monitoring","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547189","New From web-browsing To factorytalk-optix-webserver","","Alert-All","","client","app-id-change","informational","default (allow)","disable"
"547190","Modified From ssl web-browsing To salesforce-base","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547191","Modified From web-browsing To salesforce-base","","Alert-All","","client","app-id-change","informational","default (allow)","disable"
"547192","Modified From ssl web-browsing To logmein","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547193","Modified From web-browsing To logmein","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547196","Modified From skype To unknown-tcp","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547198","Modified From ssl web-browsing http-video To tubitv","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547199","Modified From web-browsing To tubitv","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547201","Modified From web-browsing To gitlab-base","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547202","Modified From ssl web-browsing google-base To google-gemini","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547203","Modified From web-browsing To google-gemini","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547204","Modified From google-base To google-gemini-uploading","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547205","Modified From google-base To google-gemini-downloading","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547206","Modified From google-base To google-gemini-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547207","Modified From google-base To google-gemini-editing","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547208","Modified From google-base To google-gemini-posting","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547209","New From ssl web-browsing websocket To truthsocial","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547210","New From web-browsing To truthsocial","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547213","New From unknown-tcp To nps-proxy-server","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547214","New From unknown-udp To nps-proxy-server","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547220","Modified From beautiful-base To beautiful-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547221","Modified From beautiful-base To beautiful-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547223","Modified From copy.ai-base To copy.ai-copy","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547224","Modified From copy.ai-base To copy.ai-copy","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547225","Modified From copy.ai-base To copy.ai-create","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547226","Modified From copy.ai-base To copy.ai-create","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547227","Modified From copy.ai-base To copy.ai-create","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547228","Modified From copy.ai-base To copy.ai-create","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547229","Modified From copy.ai-base To copy.ai-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547230","Modified From copy.ai-base To copy.ai-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547231","Modified From copy.ai-base To copy.ai-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547232","Modified From copy.ai-base To copy.ai-delete","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547233","Modified From copy.ai-base To copy.ai-edit","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547234","Modified From copy.ai-base To copy.ai-edit","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547235","Modified From copy.ai-base To copy.ai-move","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547236","Modified From copy.ai-base To copy.ai-move","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547237","Modified From copy.ai-base To copy.ai-post","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547238","Modified From copy.ai-base To copy.ai-post","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547249","Modified From unknown-udp To ipsec-esp-udp","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547250","New From web-browsing To moxa-router-web","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
"547251","New From ssl web-browsing google-base To ecosia-app","","Alert-All","","server","app-id-change","informational","default (allow)","disable"
